NAME,GEOID,STUSPS,O,H,G,pre1970,USDA Plants,BONAP,Nature Serve,anyRecord
Mitchell,13205,GA,3,3,NA,NA,1,NA,NA,7
Miller,13201,GA,NA,1,NA,NA,NA,NA,NA,1
Larue,21123,KY,NA,NA,NA,NA,NA,NA,NA,0
Johnson,21115,KY,NA,NA,NA,NA,NA,NA,NA,0
Jackson,21109,KY,NA,NA,NA,NA,NA,NA,NA,0
Morgan,21175,KY,NA,NA,NA,NA,NA,NA,NA,0
Bath,21011,KY,NA,NA,NA,NA,NA,NA,NA,0
Wayne,21231,KY,NA,NA,NA,NA,1,NA,NA,1
Edmonson,21061,KY,NA,NA,NA,NA,NA,NA,NA,0
Menifee,21165,KY,NA,NA,NA,NA,NA,NA,NA,0
Acadia,22001,LA,2,NA,NA,NA,NA,NA,NA,2
Orleans,22071,LA,5,1,NA,NA,1,NA,NA,7
St. Tammany,22103,LA,61,8,NA,8,1,NA,NA,70
Morehouse,22067,LA,NA,2,NA,1,1,NA,NA,3
Red River,22081,LA,NA,NA,NA,NA,1,NA,NA,1
Evangeline,22039,LA,3,3,NA,NA,1,NA,NA,7
Grant,22043,LA,12,2,NA,NA,1,NA,NA,15
Richland,22083,LA,NA,NA,NA,NA,1,NA,NA,1
Yazoo,28163,MS,3,3,NA,NA,1,NA,NA,7
Madison,28089,MS,17,NA,NA,NA,1,NA,NA,18
Newton,28101,MS,3,1,NA,NA,1,NA,NA,5
Carroll,29033,MO,NA,NA,NA,NA,NA,NA,NA,0
Cedar,29039,MO,NA,NA,NA,NA,NA,NA,NA,0
Schuyler,29197,MO,NA,NA,NA,NA,NA,NA,NA,0
Wilkes,37193,NC,2,5,NA,NA,1,NA,NA,8
Rowan,37159,NC,17,4,NA,2,1,NA,NA,22
Henderson,37089,NC,8,1,NA,NA,NA,NA,NA,9
Sampson,37163,NC,9,NA,NA,NA,1,NA,NA,10
Mitchell,37121,NC,NA,NA,NA,NA,NA,NA,NA,0
Wagoner,40145,OK,NA,NA,NA,NA,NA,NA,NA,0
Seminole,40133,OK,NA,NA,NA,NA,NA,NA,NA,0
Kershaw,45055,SC,28,4,NA,NA,1,NA,NA,33
Clarendon,45027,SC,4,1,NA,NA,1,NA,NA,6
Calhoun,45017,SC,6,2,NA,NA,1,NA,NA,9
Anderson,47001,TN,14,1,NA,NA,NA,NA,NA,15
Wilson,47189,TN,2,NA,NA,NA,NA,NA,NA,2
Perry,47135,TN,2,NA,NA,NA,1,NA,NA,3
Dyer,47045,TN,NA,NA,NA,NA,NA,NA,NA,0
Cocke,47029,TN,1,1,NA,1,1,NA,NA,3
Fentress,47049,TN,2,NA,NA,NA,1,NA,NA,3
Humphreys,47085,TN,3,NA,NA,NA,1,NA,NA,4
White,47185,TN,3,1,NA,NA,1,NA,NA,5
Moore,47127,TN,2,NA,NA,NA,NA,NA,NA,2
Montgomery,48339,TX,206,14,NA,NA,NA,NA,NA,220
Bexar,48029,TX,1,NA,NA,NA,NA,NA,NA,1
Jefferson,48245,TX,4,3,NA,NA,NA,NA,NA,7
Tyler,48457,TX,49,3,NA,NA,1,NA,NA,53
Fort Bend,48157,TX,4,NA,NA,NA,NA,NA,NA,4
Ellis,48139,TX,1,NA,NA,NA,NA,NA,NA,1
Wood,48499,TX,37,1,NA,NA,NA,NA,NA,38
Brazos,48041,TX,29,5,NA,NA,1,NA,NA,35
Upshur,48459,TX,9,2,NA,NA,NA,NA,NA,11
Morris,48343,TX,9,2,NA,1,1,NA,NA,12
Roberts,48393,TX,NA,NA,NA,NA,NA,NA,NA,0
Leon,48289,TX,14,2,NA,NA,NA,NA,NA,16
Navarro,48349,TX,NA,NA,NA,NA,NA,NA,NA,0
Grimes,48185,TX,11,1,NA,NA,1,NA,NA,13
Van Zandt,48467,TX,10,4,NA,NA,NA,NA,NA,14
Dickens,48125,TX,NA,NA,NA,NA,NA,NA,NA,0
Crockett,48105,TX,NA,NA,NA,NA,NA,NA,NA,0
Scurry,48415,TX,NA,NA,NA,NA,NA,NA,NA,0
Rains,48379,TX,3,1,NA,NA,NA,NA,NA,4
Kenedy,48261,TX,NA,NA,NA,NA,NA,NA,NA,0
Louisa,51109,VA,NA,NA,NA,NA,NA,NA,NA,0
Botetourt,51023,VA,NA,NA,NA,NA,NA,NA,NA,0
Fauquier,51061,VA,4,NA,NA,NA,NA,NA,NA,4
